id,visit,count_exonic,count_intronic,count_intergenic,count_overlapping exon,percent_exonic,percent_intronic,percent_intergenic,percent_overlapping exon
12938338,visit2,24066712,26563518,2201945,2016203,45.55,50.28,4.17,3.82
13110564,visit2,23537981,25154081,2040788,2015546,46.4,49.58,4.02,3.97
13125795,visit2,23006380,26671935,2077493,2101960,44.45,51.53,4.01,4.06
14201792,visit2,22540923,26519199,2151268,2113259,44.02,51.78,4.2,4.13
14425293,visit2,18952137,24277105,2043782,1798062,41.86,53.62,4.51,3.97
16063654,visit2,22145283,26313143,2083230,2036476,43.82,52.06,4.12,4.03
16589336,visit2,22550861,26678279,2157970,2035863,43.88,51.92,4.2,3.96
17412669,visit2,20842902,23340009,2396703,1996437,44.75,50.11,5.15,4.29
17944067,visit2,27908898,31783884,2600372,2366199,44.8,51.02,4.17,3.8
18606301,visit2,20569491,28694463,2239254,2097593,39.94,55.71,4.35,4.07
19325457,visit2,22020540,25095923,1972886,1851041,44.86,51.12,4.02,3.77
21148298,visit2,3602704,26691571,15681730,646342,7.84,58.06,34.11,1.41
21721353,visit2,23593920,28333800,2284418,2155430,43.52,52.26,4.21,3.98
21900907,visit2,22054409,19541960,1832922,1877865,50.78,45,4.22,4.32
21924435,visit2,24083864,27167953,2220661,2033918,45.04,50.81,4.15,3.8
22226625,visit2,22177602,24234405,2099868,1986067,45.72,49.96,4.33,4.09
22283618,visit2,11194050,24348021,8977385,1160886,25.14,54.69,20.17,2.61
22816987,visit1,20783765,27815605,2194754,2088469,40.92,54.76,4.32,4.11
23066509,visit2,21211805,25309735,2170658,1872229,43.56,51.98,4.46,3.85
23651714,visit2,19079958,28875036,2773255,2042576,37.61,56.92,5.47,4.03
24025535,visit1,24096576,26497342,2392165,2051821,45.48,50.01,4.51,3.87
25039344,visit1,26638345,28369827,2405610,2179739,46.4,49.41,4.19,3.8
25160672,visit2,24506329,30732539,2472061,2237922,42.46,53.25,4.28,3.88
25243692,visit1,20594633,22398851,1776510,1801826,46,50.03,3.97,4.02
25381468,visit2,19585200,31139604,4186906,1909641,35.67,56.71,7.62,3.48
25519324,visit1,21303311,21977562,1847192,1719836,47.21,48.7,4.09,3.81
25896481,visit2,21419569,23166585,2051539,1987682,45.93,49.67,4.4,4.26
26344109,visit2,22657944,30045127,3264089,2176627,40.48,53.68,5.83,3.89
27719608,visit1,23876807,33284674,3336792,2412444,39.47,55.02,5.52,3.99
28118099,visit2,20068027,28670436,2633729,2003688,39.06,55.81,5.13,3.9
